Provincia,Partido,Localidad,Link Indec, ADSL , CABLEMODEM , DIAL UP , FIBRA OPTICA , OTROS , SATELITAL , WIMAX , WIRELESS , Total general ,
BUENOS AIRES,La Plata,ruta del sol,6441030, 89 , -   , -   , 81 , -   , -   , -   , -   , 170 ,
BUENOS AIRES,La Plata,El Retiro,6441030, -   , -   , -   , 1 , -   , -   , -   , -   , 1 ,
BUENOS AIRES,La Plata,Transradio,6441030, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
BUENOS AIRES,La Plata,Arana,6441030, -   , -   , -   , -   , -   , -   , -   , 96 , 96 ,
BUENOS AIRES,La Plata,Villa Garibaldi,6441030, -   , -   , -   , -   , -   , -   , -   , 145 , 145 ,
BUENOS AIRES,La Plata,Villa Parque Sicardi,6441030, -   , -   , -   , -   , -   , -   , -   , 145 , 145 ,
BUENOS AIRES,La Plata,Barrio El Carmen Oeste,6441030, -   , -   , -   , -   , -   , -   , -   , 145 , 145 ,
BUENOS AIRES,La Plata,Barrio Gambier,6441030, -   , -   , -   , -   , -   , -   , -   , 145 , 145 ,
BUENOS AIRES,La Plata,Villa Montoro,6441030, -   , -   , -   , -   , -   , -   , -   , 145 , 145 ,
BUENOS AIRES,La Plata,Country Club El Rodeo,6441010, -   , -   , -   , 189 , -   , -   , -   , -   , 189 ,
BUENOS AIRES,Lanús,Gerli,6434010, 7 ," 5,915 ", 14 ," 6,530 ", 3 , -   , -   , -   ," 12,469 ",
BUENOS AIRES,Lanús,Lanús Este,6434010, 239 ," 26,828 ", 78 ," 16,895 ", -   , 1 , -   , 264 ," 44,305 ",
BUENOS AIRES,Lanús,Lanús Oeste,6434010, -   ," 12,134 ", 1 ," 16,231 ", -   , -   , -   , 364 ," 28,730 ",
BUENOS AIRES,Lanús,Monte Chingolo,6434010, 9 ," 10,721 ", 43 ," 18,375 ", 24 , -   , -   , -   ," 29,172 ",
BUENOS AIRES,Lanús,Remedios Escalada De San Martin,6434010, 15 ," 13,572 ", 19 ," 6,807 ", -   , -   , -   , 344 ," 20,757 ",
BUENOS AIRES,Lanús,Valentín Alsina,6434010, 63 ," 7,174 ", 75 ," 13,210 ", 13 , -   , -   , 2 ," 20,537 ",
BUENOS AIRES,Laprida,Laprida,6448010, -   , 22 , -   ," 2,793 ", -   , -   , -   , -   ," 2,815 ",
BUENOS AIRES,Laprida,Pueblo Nuevo,6448020, -   , -   , -   , -   , -   , -   , -   , 8 , 8 ,
BUENOS AIRES,Laprida,Pueblo San Jorge,6448030, -   , -   , -   , -   , -   , -   , -   , 117 , 117 ,
BUENOS AIRES,Las Flores,Las Flores,6455030," 1,411 ", -   , -   ," 3,575 ", -   , -   , -   , 791 ," 5,777 ",
BUENOS AIRES,Las Flores,Coronel Boerr,6455010, -   , -   , -   , -   , -   , -   , -   , 3 , 3 ,
BUENOS AIRES,Las Flores,El Trigo,6455020, -   , -   , -   , 1 , -   , -   , -   , 3 , 4 ,
BUENOS AIRES,Las Flores,Pardo,6455040, -   , -   , -   , -   , -   , -   , -   , 4 , 4 ,
BUENOS AIRES,Leandro N. Alem,Alberdi Viejo,6462010, 2 , -   , -   , -   , 2 , -   , -   , 2 , 6 ,
BUENOS AIRES,Leandro N. Alem,El Dorado,6462020, -   , -   , -   , 4 , -   , 1 , -   , 108 , 113 ,
BUENOS AIRES,Leandro N. Alem,Fortín Acha,6462030, -   , -   , -   , -   , -   , -   , -   , 39 , 39 ,
BUENOS AIRES,Leandro N. Alem,Juan Bautista Alberdi  (Est. Alberdi),6462040, 252 , 457 , -   , 396 , -   , -   , -   , 12 ," 1,117 ",
BUENOS AIRES,Leandro N. Alem,Leandro N. Alem,6462050, -   , 185 , -   , -   , -   , -   , -   , 65 , 250 ,
BUENOS AIRES,Leandro N. Alem,Vedia,6462060, 814 , -   , 1 , 11 , -   , 1 , -   ," 1,167 "," 1,994 ",
BUENOS AIRES,Lincoln,Bayauca,6469020, -   , -   , -   , -   , 1 , -   , -   , 43 , 44 ,
BUENOS AIRES,Lincoln,Coronel Martínez de Hoz  (Ap. Kilómetro 322),6469050, 288 , -   , -   , -   , -   , -   , -   , -   , 288 ,
BUENOS AIRES,Lincoln,El Triunfo,6469060, -   , -   , 1 , 10 , -   , -   , -   , -   , 11 ,
BUENOS AIRES,Lincoln,Las Toscas,6469070, 330 , -   , -   , -   , -   , -   , -   , -   , 330 ,
BUENOS AIRES,Lincoln,Lincoln,6469080, 703 ," 9,240 ", 38 , 20 , 1 , -   , -   , -   ," 10,002 ",
BUENOS AIRES,Lincoln,Pasteur,6469090, -   , -   , -   , -   , -   , 2 , -   , 461 , 463 ,
BUENOS AIRES,Lincoln,Roberts,6469100, -   , -   , 1 , 699 , -   , -   , -   , -   , 700 ,
BUENOS AIRES,Lincoln,Arenaza,6469010, -   , -   , -   , 293 , -   , -   , -   , -   , 293 ,
BUENOS AIRES,Lincoln,Carlos Salas,6469040, -   , -   , -   , -   , -   , -   , -   , 123 , 123 ,
BUENOS AIRES,Lobería,Lobería,6476030, 634 , -   , 5 ," 1,497 ", 15 , 1 , -   , 701 ," 2,853 ",
BUENOS AIRES,Lobería,San Manuel,6476050, -   , -   , -   , 353 , -   , -   , -   , 126 , 479 ,
BUENOS AIRES,Lobería,Pieres,6476040, -   , -   , -   , -   , -   , -   , -   , 14 , 14 ,
BUENOS AIRES,Lobería,Licenciado Matienzo,6476020, -   , -   , -   , -   , -   , -   , -   , 20 , 20 ,
BUENOS AIRES,Lobos,Antonio Carboni,6483010, 2 , -   , 1 , 122 , 156 , -   , -   , 101 , 382 ,
BUENOS AIRES,Lobos,Elvira,6483020, -   , -   , -   , 61 , -   , -   , -   , 74 , 135 ,
BUENOS AIRES,Lobos,Lobos,6483040, 587 , -   , 10 ," 3,211 ", -   , -   , -   ," 1,510 "," 5,318 ",
BUENOS AIRES,Lobos,Salvador María,6483050, 87 , -   , -   , 446 , -   , -   , -   , 265 , 798 ,
